mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
classic,0,0.99382237925139683,-0.0061967811990819577,0,1,0.99382237925139683,,,0,ok,19
classic,0.050000000000000003,0.92601384620004024,-0.076866091747920695,0.0479871815758941,0.9531460048289232,0.88262639792183328,,,3.5137777363938554e-16,ok,10
classic,0.10000000000000001,0.86034552021185062,-0.15042120273341197,0.092637055476318231,0.91152427300952887,0.7842258248481121,,,3.2766477638136941e-16,ok,4
classic,0.15000000000000002,0.79690921824749716,-0.22701451101138614,0.13405893537439934,0.87453852182929193,0.69692780975830271,,,3.0472849948694922e-16,ok,4
classic,0.20000000000000001,0.73579426264769177,-0.30680473377636752,0.17236666849767646,0.84167050252335851,0.61929632679648672,,,2.7219281494181128e-16,ok,4
classic,0.25,0.67708619798826764,-0.38995669070616934,0.20767847936126427,0.81246822002283081,0.55011101808155383,,,2.5090550695656904e-16,ok,3
classic,0.30000000000000004,0.62086538475277719,-0.47664099228170498,0.24011674620086193,0.7865360306128143,0.48833299526834711,,,2.3048774863523852e-16,ok,3
classic,0.35000000000000003,0.56720548907369495,-0.56703362631863596,0.26980770439351132,0.76352630297457336,0.43307631009932307,,,2.1096694661543874e-16,ok,3
classic,0.40000000000000002,0.5161718964171359,-0.66131543638556711,0.29688107232899147,0.74313238611072474,0.38358405302776405,,,1.9236784919115843e-16,ok,3
classic,0.45000000000000001,0.46782008626046467,-0.75967148804443974,0.32146959681651283,0.72508267451392505,0.33920823933707284,,,1.7471197457667636e-16,ok,3
classic,0.5,0.42219401401239964,-0.86229032175369524,0.34370851719505707,0.70913559876097987,0.29939280491998455,,,1.6322120368914907e-16,ok,3
classic,0.55000000000000004,0.37932455496420237,-0.96936309480238481,0.36373494984604476,0.69507540017181957,0.26365916683674034,,,1.5270470328934291e-16,ok,3
classic,0.60000000000000009,0.33922807211372596,-1.0810826187195506,0.3816871977308206,0.68270857259967099,0.23159391289850012,,,1.3276256367885137e-16,ok,3
classic,0.65000000000000002,0.30190517436170805,-1.197642303092908,0.39770399279589386,0.67186087388942828,0.2028382742783974,,,1.1380617383646038e-16,ok,3
