mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
classic,0,0.99382237925139683,-0.0061967811990819577,0,1,0.99382237925139683,,,0,ok,19
classic,0.0234375,0.96177655049390132,-0.038973131290542806,0.022916287045271468,0.97734429672769341,0.93998682635164887,,,1.6283001290610931e-16,ok,7
classic,0.046875,0.93019014026382374,-0.072366261835691503,0.045086865021338504,0.95591444269809123,0.88918218953355233,,,1.6273560171290339e-16,ok,3
classic,0.0703125,0.89907273520516418,-0.10639134099223324,0.06652261398884475,0.93564175702483288,0.8412099936604821,,,1.5231015714438631e-16,ok,3
classic,0.09375,0.86843386109326326,-0.14106384923097592,0.087234638029409797,0.9164620335576853,0.79588666234788441,,,1.4716778224912053e-16,ok,3
classic,0.1171875,0.83828295786556362,-0.17639957694308128,0.10723426352932067,0.89831520584831592,0.75304232785413894,,,1.4210588616884126e-16,ok,3
classic,0.140625,0.80862935317225137,-0.21241462120721755,0.12653303686062184,0.88114503879681993,0.71251974277321084,,,1.4233020242429834e-16,ok,3
classic,0.1640625,0.7794822344742488,-0.24912538166865561,0.14514272142520734,0.86489884470580813,0.67417328406547961,,,1.3222976182153083e-16,ok,3
classic,0.1875,0.75085061973108469,-0.28654855548349745,0.16307529402833607,0.84952722167976247,0.63786804087667626,,,1.3262276239436753e-16,ok,3
classic,0.2109375,0.72274332673753283,-0.32470113128287981,0.18034294054917757,0.83498381249796616,0.60347897841676845,,,1.2269400799057095e-16,ok,3
classic,0.234375,0.69516894118554262,-0.36360038211419865,0.19695805087757981,0.82122508226161162,0.57089017091081473,,,1.1805745947698828e-16,ok,3
classic,0.2578125,0.66813578354676495,-0.40326385731920888,0.21293321308826224,0.80821011327152192,0.53999409730108794,,,1.1871452504182712e-16,ok,3
classic,0.28125,0.64165187489080688,-0.44370937331228943,0.22828120682610123,0.79590041573388293,0.51069099398201867,,,1.0905405458913005e-16,ok,3
classic,0.3046875,0.61572490177505212,-0.48495500322626239,0.24301499587911485,0.78425975301892437,0.48288825939370383,,,1.0729195303237033e-16,ok,3
classic,0.328125,0.59036218036327559,-0.52701906539793164,0.25714771991918689,0.77325398031289583,0.45649990579210253,,,1.0041904403175326e-16,ok,3
classic,0.3515625,0.5655706199520818,-0.56992011067102011,0.2706926853945103,0.7628508956081026,0.4314460539600754,,,9.6242768246124002e-17,ok,3
classic,0.375,0.54135668610619381,-0.61367690850036638,0.28366335556218364,0.75302010207022252,0.4076524670280835,,,9.2162154655805254e-17,ok,3
classic,0.3984375,0.51772636362540059,-0.6583084318481931,0.29607333965436189,0.74373288090754752,0.38505011994090771,,,9.3382410903887116e-17,ok,3
classic,0.421875,0.49468511958725336,-0.70383384087087175,0.30793638117683592,0.73496207394398871,0.36357480144107779,,,8.9496150206073964e-17,ok,3
classic,0.4453125,0.47223786672993334,-0.75027246540292403,0.31926634534487575,0.72668197516740629,0.34316674574415035,,,8.0504237360229122e-17,ok,3
classic,0.46875,0.45038892745867892,-0.79764378625396071,0.3300772056675963,0.71886823058773042,0.3237702913585262,,,7.6815782696261707e-17,ok,3
classic,0.4921875,0.4291419987763061,-0.84596741534379327,0.34038302969895062,0.7114977457960292,0.30533356475574414,,,7.3227284015006856e-17,ok,3
classic,0.515625,0.40850011845319045,-0.89526307471103106,0.35019796398067832,0.70454860066669567,0.28780818682837478,,,7.494347298637417e-17,ok,3
classic,0.5390625,0.38846563276412127,-0.94555057444098445,0.35953621821007525,0.6979999706907638,0.27114900028372568,,,6.6352287073790277e-17,ok,3
classic,0.5625,0.36904016612820262,-0.99684978956954029,0.36841204867323452,0.69183205446947316,0.25531381631423011,,,6.5668653808325465e-17,ok,3
classic,0.5859375,0.35022459299297554,-1.0491806360307638,0.37683974099235307,0.68602600693399629,0.24026317906105507,,,5.9882355565708604e-17,ok,3
classic,0.609375,0.3320190123047429,-1.1025630457271407,0.38483359224371361,0.68056387789010819,0.22596014654735938,,,5.9401814587975306e-17,ok,3
classic,0.6328125,0.31442272490326478,-1.1570169408125062,0.39240789251093111,0.67542855551586967,0.21237008690277578,,,5.5119682940354537e-17,ok,3
