age,checkpoint_count,U_N,U_standard_error,J_N,J_standard_error,h_N,h_standard_error,status
0.125,0,0.80859375,0.0043465859877206614,1.4379480454495968,0.0087763731438398034,1.7783318822951535,0.014463357141186432,ok
0.125,1,0.8194580078125,0.0042496923895523229,1.4457121298223523,0.0086504873052178164,1.7642296689266661,0.013969449078461189,ok
0.125,4,0.81005859375,0.0043338419547883323,1.4461273693581242,0.0086074392970456378,1.7852132926132842,0.014287274494952783,ok
0.125,8,0.8179931640625,0.0042630822837241514,1.4345189727646972,0.0088165453165498509,1.7537053312771824,0.014131686887451381,ok
0.125,16,0.816162109375,0.004279674673041637,1.455062493497189,0.0088736740521464068,1.7828106411500109,0.01433887918246105,ok
0.125,32,0.81201171875,0.0043166969975985152,1.4424357263527301,0.0087535781864488457,1.7763730412329473,0.014331315788086189,ok
0.25,0,0.738037109375,0.0048580727575878151,0.51029555366544832,0.0078438921729263762,0.6914226224987351,0.011561535802484823,ok
0.25,1,0.70556640625,0.0050357905150053709,0.50414961448266438,0.0078037640189547244,0.71453177194498041,0.012179392281991129,ok
0.25,4,0.7169189453125,0.0049773188098343217,0.53415107581600352,0.0080239994082848178,0.74506480726795521,0.01232986331551221,ok
0.25,8,0.7080078125,0.0050235377363998966,0.51081888930886721,0.0079014697883645017,0.72148764503762763,0.012278226766528814,ok
0.25,16,0.7176513671875,0.0049734142116930908,0.51821702839785289,0.0079424745663757689,0.72210136020330173,0.012146112015350112,ok
0.25,32,0.7132568359375,0.0049965994530754027,0.50334866248585186,0.007878810238970628,0.70570464540203637,0.012102051584565489,ok
0.375,0,0.76318359375,0.0046970527138706104,0.38469280688961988,0.0075087186252326956,0.5040632556045691,0.010316189787854885,ok
0.375,1,0.675537109375,0.0051726387657378631,0.399091556324006,0.007712382756399864,0.59077665872899476,0.012280205845087785,ok
0.375,4,0.6556396484375,0.0052498174707184602,0.38309982432361828,0.0074577907758087781,0.58431460824037995,0.012299475130212864,ok
0.375,8,0.6522216796875,0.0052620369850069999,0.39138784636027441,0.0075933099905185937,0.60008407961507915,0.012608746184943124,ok
0.375,16,0.6522216796875,0.0052620369850069999,0.37910655129518261,0.0074406735298017885,0.58125413966126449,0.012334431052136665,ok
0.375,32,0.653564453125,0.0052572721993983584,0.38279853176062395,0.0074983559889961514,0.58570892270882169,0.012402733761702943,ok
0.5,0,0.8048095703125,0.0043790595820320773,0.32972500216000455,0.00672715471093846,0.4096931924305714,0.008650837723361289,ok
0.5,1,0.6524658203125,0.005261174092964332,0.31314177768895929,0.0068167764845738135,0.47993591072552938,0.011141429006707972,ok
0.5,4,0.614990234375,0.0053761949752507985,0.32176830391448036,0.0069125453426841232,0.52320880223648736,0.012135061188491666,ok
0.5,8,0.616943359375,0.0053710497236614876,0.30650809080302388,0.0068061191747465265,0.4968172298888745,0.011849588752960208,ok
0.5,16,0.6131591796875,0.0053809355859218708,0.31411653923846677,0.0067497322174914004,0.51229199471262588,0.011890776149925024,ok
0.5,32,0.6053466796875,0.0054002639940942294,0.30444602603152204,0.0067303880147064742,0.50292838178064703,0.011989359625446224,ok
0.625,0,0.8626708984375,0.0038028473384052494,0.27648380699196717,0.0057479638851719158,0.32049743128317465,0.0068111271184183126,ok
0.625,1,0.675537109375,0.0051726387657378631,0.24218122157662408,0.0055466902817692901,0.35850172879575432,0.0086575073806420978,ok
0.625,4,0.5963134765625,0.0054208135019123494,0.22775294176459795,0.0053669501318509144,0.38193492301649673,0.0096466908959822947,ok
0.625,8,0.5823974609375,0.0054487430732242659,0.22309458357260825,0.0053555394283880857,0.38306242478029906,0.0098693601578979957,ok
0.625,16,0.596435546875,0.0054205485735529602,0.22811736533569385,0.0053216144545380137,0.38246775620753254,0.0095755337776197141,ok
0.625,32,0.5877685546875,0.0054384953382303758,0.21819344668591878,0.0053332351409091485,0.37122340919024854,0.0097020726440608333,ok
0.75,0,0.900390625,0.0033088007685402061,0.22266516133858649,0.0044611067594920711,0.24729840044545831,0.0050372905262423412,ok
0.75,1,0.699951171875,0.0050633140846438425,0.1753864224054944,0.0041285701418725109,0.25056951034980995,0.0061705893378019043,ok
0.75,4,0.568603515625,0.005472025332162349,0.15340647709672425,0.003891852547049436,0.26979516109411017,0.0073204924737899852,ok
0.75,8,0.563232421875,0.0054799178472202444,0.15190245046356413,0.0039305219718976806,0.26969763203240515,0.0074555308840124823,ok
0.75,16,0.554443359375,0.0054914253185128787,0.15402325786426335,0.0040013246381638747,0.27779800273536887,0.0077235342972484791,ok
0.75,32,0.5693359375,0.0054708983254736533,0.15363798362921388,0.003958585078360082,0.26985470881014584,0.0074207959710177783,ok
0.875,0,0.9332275390625,0.002758020517071821,0.15372906314357784,0.0032002862282463681,0.16472838263861211,0.0034636505978716888,ok
0.875,1,0.7298583984375,0.0049059155522420987,0.12755147270553424,0.0029761967343233599,0.17476194420534144,0.0042436022230484781,ok
0.875,4,0.57080078125,0.0054686076920590285,0.1060825095436516,0.0027760624123014167,0.18584857103969074,0.0051791396285190729,ok
0.875,8,0.5584716796875,0.0054863674118000002,0.10433551159017099,0.0027992334179637638,0.18682328108124169,0.0053377617680844093,ok
0.875,16,0.5374755859375,0.0055087330841769059,0.10598276192834936,0.0028468779182380267,0.1971861879893341,0.0056692276446907329,ok
0.875,32,0.5439453125,0.0055028935205308537,0.10594131784829064,0.002817744786341106,0.19476464897064563,0.0055422724900990386,ok
1,0,0.9617919921875,0.0021179846271392839,0.11047175692198453,0.0022659820353222531,0.11486034175718966,0.0023695386563503929,ok
1,1,0.7720947265625,0.0046346560383546502,0.093149362964113927,0.0021692959608637392,0.12064499310703894,0.0029014561429889698,ok
1,4,0.5709228515625,0.0054684146004989106,0.067873067572183185,0.0018725921700444264,0.11888308093891911,0.0034719744548534289,ok
1,8,0.54150390625,0.0055052068943819083,0.066523346986624737,0.0018638334417757549,0.12284924673454235,0.0036615494058537135,ok
1,16,0.5396728515625,0.0055068545803616852,0.069988369812196166,0.0019523298562595538,0.12968666037129858,0.0038520590437251135,ok
1,32,0.5274658203125,0.0055159307271253405,0.063465096671663057,0.0018117003112271843,0.1203207757311418,0.0036579391800522446,ok
1.125,0,0.9754638671875,0.0017092818401512147,0.077682183351857712,0.0015657381136026545,0.07963614641702145,0.0016111759639803841,ok
1.125,1,0.8199462890625,0.0042452059949825566,0.061522926253503987,0.0013929337998698304,0.075032873584740908,0.0017426626293010233,ok
1.125,4,0.578857421875,0.0054551337969906714,0.044351239963592561,0.0012308554764943469,0.076618590843895037,0.0022456038951321334,ok
1.125,8,0.552978515625,0.0054931739965984796,0.043551128520742534,0.0012548573102943088,0.078757360892256698,0.0024003479740216083,ok
1.125,16,0.5238037109375,0.0055180078880815468,0.043265429786257435,0.0012447128653024469,0.082598555303896745,0.0025305963519788471,ok
1.125,32,0.531005859375,0.0055136398326913628,0.042010690611592724,0.0012159752500408797,0.079115305170153472,0.0024328367186653493,ok
1.25,0,0.9844970703125,0.0013649575053930657,0.04545976887943684,0.00095389801581512548,0.04617562636830088,0.00097103183172769704,ok
1.25,1,0.8466796875,0.0039807458084836992,0.040868673101931569,0.00092057666673683359,0.048269344009663123,0.0011107104749348824,ok
1.25,4,0.586669921875,0.0054406456939110207,0.030230665565058636,0.00084139149428196327,0.051529257658959708,0.0015117006255320527,ok
1.25,8,0.5447998046875,0.0055020523680919114,0.026897556436403659,0.00079002038126687907,0.049371450218915251,0.0015334399006808369,ok
1.25,16,0.5303955078125,0.0055140546753719042,0.025417863608715185,0.000755006435950182,0.047922471503474062,0.0015081449086542964,ok
1.25,32,0.5181884765625,0.0055206154313855154,0.025859269577134809,0.00075507585104992087,0.049903212338254031,0.001551105095090129,ok
1.375,0,0.992919921875,0.00092636292504052413,0.028534229022428685,0.00059083828102033124,0.028737694142087017,0.0005956550071771501,ok
1.375,1,0.8778076171875,0.0036184849251722955,0.024738320908240428,0.00055639522027744115,0.028181939212947517,0.0006444043974678386,ok
1.375,4,0.5966796875,0.005420017671168076,0.016544862556187659,0.00046697502004744955,0.027728214824118105,0.00082215454625247811,ok
1.375,8,0.539306640625,0.005507175140458378,0.01617496242761525,0.00047085481243341816,0.029992144003400664,0.00092523431538951858,ok
1.375,16,0.523681640625,0.0055180720038622323,0.015864472858636812,0.00047337230314180019,0.030294116936585725,0.00095863858712108032,ok
1.375,32,0.5264892578125,0.0055165137299726203,0.015676616850444417,0.00047487453561941256,0.029775758228342376,0.00095439836503540313,ok
1.5,0,0.994873046875,0.00078907545446157848,0.016646255283710533,0.00034131557501820066,0.01673203966676769,0.00034333107948676992,ok
1.5,1,0.900634765625,0.0033051913876446129,0.015546450852870422,0.00033943018114859449,0.017261659716280089,0.00038216564470940447,ok
1.5,4,0.621826171875,0.0053577847477395647,0.010585509611995926,0.00029393122167761912,0.017023261629656582,0.00049492423676311095,ok
1.5,8,0.5498046875,0.0054967974196733996,0.0091197617843427631,0.00026997167047263632,0.016587275430136748,0.00051827950706609101,ok
1.5,16,0.5328369140625,0.0055123456198582126,0.0085250171286109927,0.00025844396643112514,0.015999299041828466,0.00051249763171747444,ok
1.5,32,0.5191650390625,0.005520212120488849,0.0090784969240367015,0.000263520547916,0.017486726264215532,0.00054056850141818904,ok
